soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
presupune	preface	V	implica,presupune	modifica,preface,schimba,transforma	A atrage după sine, a include	A cauza schimbarea; a face să fie diferit; a determina o transformare	2.5	0.82
consimți	mulțumi	V	fi_de_acord,accepta,aproba,consimți	mulțumi,satisface	A fi de acord cu ceva, a-și da consimțământul	A fi conform cu anumite norme, criterii, exigențe, dorințe.	2.42	1.07
ierta	uita	V	ierta	uita	A scuti pe cineva de o pedeapsă, a trece cu vederea vina, greșeala cuiva, a nu mai considera vinovat pe cineva	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	2.28	2.2
clarifica	explica	V	clarifica,desluși,lămuri,limpezi,elucida	explica,lămuri,desluși	A face clar și de înțeles	A face să fie clar, înțeles de cineva, a desluși	3.42	8.2
înțelege	ierta	V	înțelege,pricepe,realiza,vedea	ierta	A-și face, a avea o idee clară și exactă despre un lucru, a pătrunde, a cuprinde cu mintea;	A scuti pe cineva de o pedeapsă, a trece cu vederea vina, greșeala cuiva, a nu mai considera vinovat pe cineva	2.28	2.8
reaminti	uita	V	reaminti,aminti	uita	A face pe cineva să-și aducă aminte de ceva.	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	2.77	0.35
ajunge	rămâne	V	ajunge,cumpăra	rămâne	(Despre prețuri; p. ext. despre mărfuri) A atinge un anumit nivel.; a valora	A fi, a se găsi sau a ajunge într-un anumit loc sau într-o anumită situație; a se opri într-o anumită atitudine, a se menține sub un anumit aspect.;	3.0	0.57
înțelege	descoperi	V	înțelege,pricepe,realiza,vedea	descoperi,dezbrăca	A-și face, a avea o idee clară și exactă despre un lucru, a pătrunde, a cuprinde cu mintea;	A-și scoate sau a scoate cuiva îmbrăcămintea cu care se află îmbrăcat	2.77	2.3
necesita	întreba	V	avea_nevoie,cere,necesita,trebui,vrea	cere,întreba	A avea nevoie (de ceva sau de cineva).;	A ruga pe cineva să se prezinte undeva sau să participe la ceva	2.77	1.13
ignora	cere	V	ignora,fi_în_beznă	cere,întreba	a fi ignorant, neștiutor	A ruga pe cineva să se prezinte undeva sau să participe la ceva	2.77	0.13
gândi	întreba	V	cugeta,gândi,raționa	cere,întreba	a gândi rațional	A ruga pe cineva să se prezinte undeva sau să participe la ceva	2.77	1.45
respinge	evita	V	refuza,respinge	[se] abține,evita	A respinge (ceva sau pe cineva), a nu accepta, a nu primi ceva ce ți se oferă.	A se abține, a se înfrâna de la a face ceva.	2.77	5.42
argumenta	convinge	V	argumenta,demonstra,dovedi,proba	convinge,decide,determina,face,hotărî,îndupleca	A găsi motive sau argumente	a face pe cineva să adopte o părere, să recunoască ceva cu adevărat	1.92	5.5
urmări	convinge	V	urmări,da	convinge,decide,determina,face,hotărî,îndupleca	a face demersuri judiciare împotriva cuiva	a face pe cineva să adopte o părere, să recunoască ceva cu adevărat	2.5	1.48
accepta	ierta	V	accepta,primi	ierta	A primi ceva ce ți se oferă	A scuti pe cineva de o pedeapsă, a trece cu vederea vina, greșeala cuiva, a nu mai considera vinovat pe cineva	2.09	2.95
face	renunța	V	însemna,face	abandona,renunța	a fi identic sau echivalent cu altceva	A nu mai insista, a nu mai susține	2.77	0.13
investiga	examina	V	investiga	asculta,examina	A face investigații științifice	A supune un elev, un student, un candidat la un post etc., la o probă de verificare și de apreciere a cunoștințelor 	3.42	8.23
discuta	explica	V	conversa,dialoga,discuta,vorbi	explica,lămuri,desluși	a face schimb de gânduri, de idei, a vorbi cu	A face să fie clar, înțeles de cineva, a desluși	2.68	3.9
datora	împrumuta	V	datora	împrumuta	A avea de plătit cuiva o sumă de bani	A adopta cuvinte, obiceiuri etc.; (prin extensiune) a imita.;	2.5	1.52
explora	descoperi	V	explora	descoperi,dezbrăca	A cerceta o țară sau o regiune necunoscută sau puțin cunoscută, cu scopul de a face descoperiri sau studii științifice.	A-și scoate sau a scoate cuiva îmbrăcămintea cu care se află îmbrăcat	2.28	6.2
plânge	certa	V	plânge,văita	admonesta,certa,dojeni,mustra	A-și exprima (în cuvinte) necazul, nemulțumirea, durerea.	mustra cu severitate	1.77	1.73
retrage	respinge	V	retrage	refuza,respinge	a trage înapoi	A respinge (ceva sau pe cineva), a nu accepta, a nu primi ceva ce ți se oferă.	2.77	2.42
păstra	împrumuta	V	întreține,menține,păstra	împrumuta	A păstra în stare bună, în bune condiții	A adopta cuvinte, obiceiuri etc.; (prin extensiune) a imita.;	2.5	0.38
implora	cere	V	implora	cere,solicita	a cere ceva cuiva, cu desperare (și cu umilință)	a pretinde sau a reclama ceva cu sobrietate	3.42	5.18
aranja	organiza	V	aranja,organiza,rândui	aranja,organiza,rândui	A pune ceva în ordine, în rânduială.;	A pune ceva în ordine, în rânduială.;	4.0	8.18
reduce	micșora	V	micșora,reduce,restrânge	micșora,reduce,restrânge	" și-a redus numărul de salariați "	" și-a redus numărul de salariați "	4.0	8.72
vorbi	recunoaște	V	spune,vorbi,zice	cunoaște,identifica,recunoaște	A exprima prin viu grai un gând, o părere	A deosebi ceva după anumite semne caracteristice.	2.09	1.28
da	împrumuta	V	da	împrumuta	A transfera cuiva posesia a ceva concret sau abstract	a da ceva cu titlu de împrumut	3.42	5.67
ucide	apăra	V	omorî,suprima,ucide	reprezenta,apăra	A pricinui moartea cuiva, a lua viața cuiva, de obicei fără intenție;	A acționa drept apărător al cuiva într-un proces	2.77	0.13
dispărea	micșora	V	[se] șterge,dispărea	descrește,micșora,reduce,scădea,împuțina	A deveni din ce în ce mai puțin vizibil, a se face nevăzut graduat.	A (se) face (mai) mic (ca dimensiune, volum, durată, intensitate etc.)	3.0	1.35
livra	căra	V	furniza,livra	căra,duce,transporta	a face o livrare la o anumită destinație	A deplasa (cu un vehicul) bunuri sau persoane dintr-un loc în altul;	2.42	3.52
respira	îneca	V	răsufla,respira	îneca	A introduce în plămâni, prin inspirație, aer și a da afară, prin expirație, bioxidul de carbon și vaporii de apă rezultați din arderile care au loc în organism	A muri sau a face să moară prin sufocare în apă (sau în alt lichid)	2.5	0.1
recunoaște	notifica	V	cunoaște,identifica,recunoaște	anunța,încunoștința,înștiința,vesti,notifica	A deosebi ceva după anumite semne caracteristice.	A aduce la cunoștință	1.92	1.45
deveni	părea	V	deveni,[se] face,[se] preface,[se] transforma	părea	A lua o formă nouă, un conținut nou.	pe cât se vede, pe cât se înțelege.	2.09	0.75
pretinde	părea	V	afirma,pretinde,proclama,susține	părea	A susține (cu tărie), a declara (în mod ferm)	pe cât se vede, pe cât se înțelege.	2.28	5.1
realiza	deveni	V	înțelege,pricepe,realiza,vedea	deveni,[se] face,[se] preface,[se] transforma	A-și face, a avea o idee clară și exactă despre un lucru, a pătrunde, a cuprinde cu mintea;	A lua o formă nouă, un conținut nou.	2.28	3.33
medita	gândi	V	medita	cugeta,gândi,raționa	a se gândi intens și îndelungat, în scopuri spirituale	a gândi rațional	2.5	8.05
determina	prezice	V	determina,fixa	prevedea,prezice	A stabili în urma unui calcul sau a investigării	A spune, a anunța dinainte ce se va întâmpla, orientându-se după anumite indicații prezente, după intuiție, raționament etc.	1.77	2.42
mulțumi	distra	V	mulțumi,satisface	amuza,delecta,desfăta,distra	A fi conform cu anumite norme, criterii, exigențe, dorințe.	A face pe cineva să-și petreacă timpul în mod agreabil	2.19	1.57
rămâne	reține	V	rămâne	reține	A fi, a se găsi sau a ajunge într-un anumit loc sau într-o anumită situație; a se opri într-o anumită atitudine, a se menține sub un anumit aspect.;	a constitui suport pentru altceva	3.0	2.63
imagina	portretiza	V	imagina,[se] gândi	portretiza	A reflecta la ceva	A face cuiva portretul în cuvinte	2.09	4.93
uita	reține	V	uita	aresta,reține	A pierde din memorie (momentan sau pentru totdeauna), a nu-și (mai) aduce aminte, a nu (mai) ține minte.	A închide pe cineva temporar, a-l priva de libertate	2.77	0.18
vrea	alege	V	avea_nevoie,cere,necesita,trebui,vrea	alege,opta,[se] hotărî	A avea nevoie (de ceva sau de cineva).;	A prefera din două sau mai multe lucruri, soluții, situații etc. pe cea considerată mai convenabilă	2.77	2.52
pierde	primi	V	pierde	lua,primi	A fi învins într-un război, într-o întrecere	A primi ceva ca pedeapsă	2.77	0.25
încerca	gândi	V	experimenta,încerca	cugeta,gândi,raționa	A încerca, a verifica prin experiență.	a gândi rațional	2.77	0.82
deveni	apărea	V	ajunge,deveni,[se] face	apărea,[se] ivi	A-și asuma o anume stare	a lua naștere	3.42	1.13
lăsa	ignora	V	lăsa,lăsa_în_urmă	ignora,fi_în_beznă	a pleca și a nu lua cu sine	a fi ignorant, neștiutor	2.77	3.52
accepta	recomanda	V	accepta,admite	recomanda	A primi ca bun, a considera ca adevărat	a prezenta în mod elogios, favorabil (pe cineva sau ceva).	2.42	1.28
pleca	cutreiera	V	apune,asfinți,coborî,dispărea,pleca	cutreiera,străbate,traversa	(Despre aștri) A dispărea sub orizont	A trece pe o suprafață în diferite sensuri, pe toată întinderea ei, de la un capăt la altul.	2.68	5.22
păstra	da	V	întreține,menține,păstra	da	A păstra în stare bună, în bune condiții	A face să aibă, în sens abstract sau fizic	2.77	0.18
da	permite	V	lăsa,permite,da	lăsa,permite,da	A permite cuiva, a lăsa să aibă sau să ia ceva	A permite cuiva, a lăsa să aibă sau să ia ceva	4.0	2.37
aduce	trimite	V	aduce	transmite,trimite,expedia	A se duce să ia un lucru și a se întoarce pentru a-l aduce	A dispune ca un obiect să fie dus, transportat, predat la o anumită destinație	3.0	0.6
absorbi	învăța	V	absorbi,înghiți,trage	deprinde,învăța	(și metaforic) a-și asuma, a se umple de...	A dobândi cunoștințe prin studiu, a ajunge prin muncă sistematică să cunoști o meserie, o artă, o limbă etc.	2.77	3.9
achiziționa	găsi	V	achiziționa,cumpăra	găsi	A intra în posesia unui lucru, plătind contravaloarea lui cu bani.	A obține prin efort sau demersuri speciale; " Și-a găsit timpul și energia necesară să se ocupe de acest lucru "; " Am găsit bani să ne trimit copiii la facultate ".	3.0	1.28
pleca	apărea	V	pleca	apărea,ieși,răsări	a părăsi pe cineva sau ceva spre a se duce în altă parte	A începe sau a ajunge să fie; a se face.;	2.77	0.25
crea	distruge	V	crea,face	distruge,ruina	A face ceva ce nu exista înainte	A face să nu mai existe (stricând, spărgând, dărâmând etc.)	2.77	0.22
începe	duce	V	începe	conduce,duce	A face să pornească (un fenomen, o stare); " Irakul a început ostilitățile "; " Azi începe un nou capitol în viața ta ".	A duce pe cineva undeva	2.77	0.43
obține	cumpăra	V	căpăta,dobândi,obține,primi	achiziționa,cumpăra	A obține un lucru solicitat, a primi (în dar sau de pomană).	A intra în posesia unui lucru, plătind contravaloarea lui cu bani.	3.42	3.33
înlocui	repara	V	înlocui,substitui	repune,reface,repara	A lua locul altuia	(Jur.) A acoperi o pagubă, a plăti daune (pentru o stricăciune, o insultă etc.).	2.28	2.1
alătura	adăuga	V	alătura	adăuga	a adăuga	A face să sporească	3.42	4.87
accepta	livra	V	accepta,admite	furniza,livra	A primi ca bun, a considera ca adevărat	a face o livrare la o anumită destinație	1.77	0.75
atașa	uni	V	alipi,atașa,lipi	îmbina,întâlni,uni	A (se) alătura de ceva sau de cineva	A (se) atinge, a (se) intersecta într-un punct.	3.42	6.38
pune	atârna	V	pune	agăța,atârna	A aduce ceva / pe cineva într-o situație nouă, neașteptată, a face pe cineva să ajungă într-o anumită stare	A agăța, a suspenda de un cârlig, de un cui etc., lăsând să cadă liber în jos	2.68	2.62
merge	vinde	V	|se| întinde,merge	vinde	a se schimba sau a fi diferit între anumite limite	A fi răspunzător pentru vânzarea unui lucru. Ex : Publicitatea vinde foarte bine produsul	3.0	0.32
comunica	ruga	V	comunica,transmite	cere,ruga	a face cunoscut, a aduce la cunoșință, a da știre	A-și manifesta dorința ca cineva să facă ceva	2.68	1.92
da	fura	V	da	lua,fura	A face să aibă, în sens abstract sau fizic	A primi o pedeapsă	2.77	0.22
adăuga	construi	V	|se| lungi,adăuga,spori	înălța,clădi,construi,dura,face,ridica,zidi	a (se) mări cantitativ prin adăugarea unei componente convenabile	A forma un întreg (o clădire, o mașină etc.) legând în mod trainic și în ordinea cerută părțile lui componente după un plan prestabilit;	2.42	1.57
aduce	repara	V	aduce	drege,repara	A face să ajungă într-o anumită situație.	a face propriu pentru folosire, a reface, a readuce în stare bună, a repune în stare de funcționare	2.68	0.32
înțelege	satisface	V	înțelege,pricepe,realiza,vedea	satisface,face_pe_plac	A-și face, a avea o idee clară și exactă despre un lucru, a pătrunde, a cuprinde cu mintea;	A face fericit sau satisfăcut	2.77	1.38
portretiza	decide	V	portretiza	convinge,decide,determina,face,hotărî,îndupleca	A face cuiva portretul în cuvinte	a face pe cineva să adopte o părere, să recunoască ceva cu adevărat	2.09	0.35
organiza	deveni	V	aranja,organiza,rândui	deveni,[se] face,[se] preface,[se] transforma	A pune ceva în ordine, în rânduială.;	A lua o formă nouă, un conținut nou.	1.92	0.53
da	ști	V	da	ști,cunoaște	A face să aibă, în sens abstract sau fizic	A avea cunoștință (de...), a fi informat (în legătură cu...), a cunoaște.	2.77	0.25
spune	verifica	V	declara,spune,zice,rosti	verifica,afla,vedea	A exprima ceva în cuvinte	A cerceta (cu privirea sau cu mintea) pentru a se convinge de ceva	2.5	0.85
coopera	alătura	V	colabora,conlucra,coopera,[-și] uni_forțele	alătura	A participa alături de alții la realizarea unei acțiuni sau a unei opere care se efectuează în comun.	A se uni, a se grupa cu cineva pentru atingerea unui scop comun	2.28	3.87
aranja	necesita	V	aranja,fixa	avea_nevoie,cere,necesita,trebui,vrea	A conveni cu cineva să facă într-un anumit fel.	A avea nevoie (de ceva sau de cineva).;	2.5	0.92
împrumuta	vrea	V	împrumuta	avea_nevoie,cere,necesita,trebui,vrea	A adopta cuvinte, obiceiuri etc.; (prin extensiune) a imita.;	A avea nevoie (de ceva sau de cineva).;	2.5	0.97
investiga	urmări	V	investiga	urmări	A face investigații științifice	A privi ceva în desfășurare	3.0	6.6
ignora	explora	V	ignora,fi_în_beznă	explora	a fi ignorant, neștiutor	A cerceta o țară sau o regiune necunoscută sau puțin cunoscută, cu scopul de a face descoperiri sau studii științifice.	2.28	0.1
aduce	plânge	V	aduce	plânge	A face să ajungă într-o anumită situație.	a ajunge într + o anumită stare plângând	3.0	0.28
intra	datora	V	intra	datora	A fi clasificat, inclus	A avea de plătit cuiva o sumă de bani sau, (prin extensiune), altceva; a fi dator cuiva ceva.;	3.0	0.35
portretiza	notifica	V	portretiza	anunța,încunoștința,înștiința,vesti,notifica	A face cuiva portretul în cuvinte	A aduce la cunoștință	1.63	0.53
reaminti	vinde	V	reaminti,aminti	vinde	A face pe cineva să-și aducă aminte de ceva.	A fi răspunzător pentru vânzarea unui lucru. Ex : Publicitatea vinde foarte bine produsul	2.5	0.18
absorbi	poseda	V	absorbi,înghiți,trage	avea,deține,poseda,stăpâni	(și metaforic) a-și asuma, a se umple de...	A avea ceva în proprietatea sau în stăpânirea sa, a dispune de ceva;	2.77	1.42
uni	achiziționa	V	apropia,uni	achiziționa,cumpăra	A aduce la o cauză sau emoție comună. " Moartea copiilor i-a apropiat și mai mult ".	A intra în posesia unui lucru, plătind contravaloarea lui cu bani.	2.5	0.38
trimite	participa	V	direcționa,orienta,trimite	participa,|se| implica	a îndrepta pe cineva într-o anumită direcție	A lua parte la o activitate, la o acțiune, la o discuție etc.	2.5	0.57
aduna	participa	V	întâlni,aduna,strânge	participa,|se| implica	A (se) strânge la un loc, formând un grup.;	A lua parte la o activitate, la o acțiune, la o discuție etc.	2.77	3.9
